identity,Ac,s,d,w,w/d,d/D50,CVd,CVw,k,D50,D84,Cv,Ls
LSR_505PS0156,624,0.018,1.5,15.7,10.9,27.1,0.1,0.14,1.8,54,1000,0,250
LSR_505PS1180,187,0.023,1.1,14.1,16.3,15.1,0.53,0.27,1.7,75,205,2119,300
LSR_507CE0581,84,0.048,0.7,9.1,14.4,2.7,0.19,0.28,1.2,250,2500,14,198
LSR_507MZCAML,20,0.075,1,6.4,6.9,24.8,0.19,0.27,1.2,39,165,34,150
LSR_507PS0122,366,0.017,1.3,11.4,12.6,25.6,0.25,0.26,1.2,50,2500,108,150
LSR_507PS0286,6,0.076,0.4,2.3,5.8,5.6,0.26,0.42,1.1,79,2500,272,134
LSR_507PS0314,488,0.02,2,10.9,5.7,8,0.22,0.13,1.3,250,2500,28,150
LSR_507SHA915,68,0.048,1.1,9.5,8.7,17.2,0.29,0.17,1.4,64,5000,226,150
LSR_507WE0988,21,0.028,0.4,6.8,19.8,1.4,0.23,0.24,1.2,250,1000,1707,150
LSR_509ACNFPP,108,0.027,1.3,12.7,10,12.2,0.26,0.15,1.1,110,1000,114,600
LSR_509ACSFPP,119,0.028,1.5,16.6,11.2,18.6,0.18,0.44,1.2,80,1000,112,150
LSR_509ATCINC,231,0.017,1.2,16.2,13.4,14,0.11,0.06,1.3,87,1000,129,150
LSR_509BCCH32,48,0.026,1.3,11.7,9.4,10.1,0.18,0.2,1.1,130,1000,34,150
LSR_509BSCADC,22,0.048,0.7,6.7,10,3.5,0.17,0.19,1.2,200,1000,9,150
LSR_509CBCADC,16,0.079,1.3,7.4,6.1,1.3,0.2,0.22,1.5,1000,5000,30,150
LSR_509CTCADC,5,0.016,0.5,4.4,8.4,255.5,0.22,0.52,1.5,2,20,17,150
LSR_509DCPWxx,439,0.021,1.5,22.3,18.5,1.5,0.69,0.25,1.3,1000,2500,35,250
LSR_509DRCBPC,316,0.028,1.2,21.5,19.1,3.9,0.15,0.19,1.2,300,1000,130,250
LSR_509ICPPCX,261,0.044,1,8.3,9.7,12,0.2,0.25,1.3,79,1000,118,300
LSR_509PS0049,79,0.015,1.2,39,34.5,579.1,0.31,0.47,1.5,2,64,437,285
LSR_509PS0085,132,0.042,1.8,20.6,12.6,7.1,0.22,0.26,1.3,250,2500,12,240
LSR_509PS0170,22,0.034,0.8,7.4,9.8,15.5,0.16,0.23,1.1,50,350,34,150
LSR_509PS0234,261,0.016,1.1,15.5,15.1,5.2,0.27,0.11,1.3,210,1000,56,500
LSR_514DNCLDC,24,0.036,1,9.7,10.9,1,0.21,0.23,1.2,1000,5000,10,150
LSR_514PS0099,500,0.015,2.1,25.6,13.7,5.6,0.35,0.23,1.2,370,5000,28,250
LSR_514SED078,76,0.011,0.7,20.8,28.9,11.3,0.19,0.15,1.3,64,250,1124,250
LSR_517LCCAYB,12,0.022,0.4,4.3,12.7,5.6,0.39,0.38,1.2,75,190,333,143
LSR_517PS0054,56,0.047,1.8,14.6,9.3,1.2,0.29,0.3,1.4,2500,5000,42,150
LSR_517PS0061,18,0.053,1.7,9.9,6.9,6.8,0.35,0.42,1.3,250,5000,105,150
LSR_517PS0074,25,0.042,1.1,12.2,11.1,6.3,0.19,0.2,1.2,180,1000,101,150
LSR_517WE0515,375,0.007,0.8,13.4,18.8,3.1,0.22,0.33,1.3,250,5000,15,150
LSR_518BTCASC,53,0.025,0.7,10.7,14.7,8.3,0.21,0.14,1.1,90,315,323,150
LSR_518CE0015,460,0.013,0.9,20,23.7,3.5,0.24,0.14,1.3,250,1000,36,425
LSR_518CE0034,64,0.02,0.9,14.4,17.1,3.6,0.24,0.17,1.4,250,1000,53,277
LSR_518CE0047,34,0.025,0.3,10.6,42.5,4,0.22,0.29,1.2,64,250,3140,148
LSR_518CE0114,1633,0.052,1.1,14.3,14.7,4.2,0.21,0.27,1.4,250,2500,26,376
LSR_518CE0242,26,0.015,0.5,9.8,19.9,7.8,0.1,0.04,1.4,64,64,1008,148
LSR_518CE0338,4,0.106,1.2,9.3,8.3,15.9,0.12,0.36,1.1,72,1000,81,150
LSR_518CE0543,238,0.005,0.5,12.3,26.6,230,0.21,0.21,1.1,2,2,3455,148
LSR_518CE0575,21,0.006,0.5,3,5.9,270,0.19,0.42,1.3,2,16,3302,141
LSR_518CE0879,1911,0.008,1.5,20,14.9,725,0.29,0.26,1.2,2,16,1160,198
LSR_518CE0895,2,0.013,1,8.5,8.3,64.6,0.24,0.24,1.5,16,64,3993,148
LSR_518CPCRCR,46,0.044,2.2,13.5,6.5,18.7,0.34,0.19,1.4,120,2500,38,300
LSR_518GZCUPx,35,0.013,1,13.1,15.3,13.5,0.35,0.25,1.4,71,1000,110,450
LSR_518PS0017,61,0.015,0.9,16.1,20.4,7.4,0.39,0.14,1.3,120,5000,12,150
LSR_518PS0029,526,0.04,1.2,12.4,11,3.7,0.29,0.37,1.2,320,2500,38,300
LSR_518PS0033,5,0.091,0.7,6.6,9.4,9.7,0.2,0.26,1.2,74,5000,12,143
LSR_518PS0045,11,0.052,0.5,5.5,12.4,1.7,0.29,0.49,1.3,280,5000,0,135
LSR_518PS0089,29,0.005,0.3,6.2,18.8,170,0.15,0.32,1.1,2,2,563,285
LSR_518PS0093,70,0.049,0.6,10.3,17.6,8.3,0.2,0.13,1.3,74,430,68,150
LSR_518PS0113,34,0.049,1.1,11.6,10.6,9,0.2,0.26,1.1,126,1000,22,150
LSR_518PS0125,1872,0.013,1.5,19.8,13.1,22.1,0.16,0.3,1.3,69,1000,12,250
LSR_518RCNAPC,27,0.024,1.2,17.2,14.9,16.2,0.22,0.28,1.3,75,270,1794,150
LSR_518SDCAHR,65,0.011,0.7,4.9,6.6,30.6,0.2,0.37,1.4,24,69,1005,150
LSR_518SED013,53,0.012,0.7,9.5,14.6,11.2,0.21,0.43,1.3,58,250,603,150
LSR_518SED015,60,0.005,0.6,13.6,21.2,33.7,0.2,0.21,1.1,19,73,397,250
LSR_518SED082,20,0.004,0.8,13.1,17.5,107.1,0.6,0.21,1.1,7,64,172,150
LSR_518SED086,50,0.032,1,10.8,11.6,10.5,0.29,0.17,1.4,95,2500,10,300
LSR_518SED089,30,0.011,0.2,6,31.7,4.9,0.29,0.09,2,40,150,430,150
LSR_518SED091,38,0.011,0.5,8.8,17.9,30.6,0.51,0.28,1.1,16,64,1008,150
LSR_518SNCABC,52,0.028,0.5,4,7.8,17.4,0.18,0.3,1.1,30,97,185,143
LSR_518WE0521,60,0.02,1.4,14.9,10.9,15.9,0.17,0.23,1.3,88,310,61,150
LSR_518WLCBCP,24,0.031,0.4,1.6,4,30.9,0.24,0.39,1.2,13,49,1294,128
LSR_518WLCBWL,20,0.036,0.7,25,37.2,38,0.14,0,1.1,18,91,281,143
LSR_518YLCAFR,199,0.03,1.9,16.8,10.5,6.6,0.44,0.22,1.7,290,5000,0,250
LSR_521BTCLBC,305,0.014,0.9,8.5,9.2,470.5,0.14,0.08,1.2,2,5000,270,250
LSR_522GSCBSC,262,0.018,0.6,11.5,22,11.8,0.36,0.26,1.3,50,120,28,150
LSR_522MFSCRB,83,0.021,0.8,9.1,11.8,18.1,0.21,0.15,1.4,45,1000,21,150
LSR_522PS0430,247,0.03,1.1,14.5,13.9,11.7,0.18,0.13,1.4,93,1000,12,250
LSR_522WE0767,36,0.015,0.4,7.4,20.6,6.1,0.21,0.36,1.3,64,5000,21,150
LSR_523PS0172,9,0.075,1,5.3,5.3,9.2,0.09,0.24,1.2,110,2500,6,150
LSR_523PS0414,67,0.041,1.2,9.3,8.7,18.5,0.22,0.22,1.3,64,5000,6,150
LSR_523TMCATG,409,0.041,0.7,15.5,23.9,5.7,0.12,0.15,1.3,115,2500,8,150
LSR_523WE0512,67,0.029,0.4,6.8,20.7,5.4,0.2,0.21,1.4,64,2500,0,150
LSR_526CE0341,90,0.05,0.8,11.8,17.5,0.8,0.31,0.22,1.2,1000,2500,12,200
LSR_526CE0483,9,0.07,0.5,4.7,11.3,7.8,0.25,0.28,1.3,57,520,774,298
LSR_526PS0220,469,0.019,1.3,18.6,14.3,1.3,0.18,0.14,2.2,1000,1000,491,250
LSR_526PS0356,767,0.001,1.3,8.1,6.4,655,0.22,0.49,1.4,2,26,4820,150
LSR_526WE0744,154,0.026,0.4,11.2,31.6,0.2,0.14,0.26,1.2,2500,2500,31,150
LSR_0,298,0.002,0.7,18.4,25.2,11.4,0.27,0.14,1.1,64,90,3331,250
LSR_1,15,0.003,1.4,10,7.3,85.1,0.33,0.39,1.1,16,32,477,150
LSR_2,86,0.005,0.8,10.1,13.1,17.1,0.23,0.18,1.1,45,90,1174,150
LSR_5,101,0.05,0.8,6.6,8.5,17.2,0.18,0.2,1.3,45,90,3566,250
LSR_6,46,0.011,0.5,5.1,9.8,185.1,0.38,0.31,1.1,3,45,4386,150
LSR_7,1299,0.011,0.8,14.9,18.1,0.8,0.34,0.15,1.2,1000,5000,8,250
LSR_8,4,0.024,0.4,6.5,15.6,6.5,0.18,0.31,1.1,64,190,294,250
LSR_9,221,0.006,0.6,7.2,12.7,6.3,0.22,0.17,1,90,5000,5000,150
LSR_11,78,0.031,0.5,6.6,14.2,0.5,0.5,0.27,1.1,1000,5000,3606,150
LSR_12,4,0.026,0.9,3.5,3.9,7,0.24,0.27,1.1,128,5000,67,250
LSR_13,21,0.008,0.3,5.3,16.5,2.5,0.18,0.23,1,128,5000,78,150
LSR_14,148,0.033,1.8,14.8,8.1,1.8,0.12,0.51,1.3,1000,5000,10,250
LSR_15,11,0.033,0.6,5.9,10.4,12.5,0.29,0.24,1.2,45,5000,74,150
LSR_16,14,0.008,0.6,4.8,8.7,6.2,0.41,0.37,1.1,90,5000,80,150
LSR_17,33,0.016,0.9,6.4,6.8,0.9,0.21,0.62,1.1,1000,5000,214,150
LSR_18,181,0.008,1,16,15.4,8.1,0.6,0.25,1.1,128,5000,42,250
LSR_20,6,0.015,0.6,4.3,6.9,6.3,0.61,0.35,1.1,90,5000,10,150
LSR_21,8,0.024,0.4,2.3,6.4,4,0.64,0.29,1.1,90,5000,77,150
LSR_22,36,0.033,0.7,7.7,11,7.8,0.25,0.33,1.2,90,5000,190,250
LSR_23,13,0.026,1.3,7.7,5.9,1.3,0.18,0.2,1.1,1000,5000,4,150
LSR_25,733,0.016,0.8,2.3,2.9,0.8,0.46,0.14,1.2,1000,5000,4564,250
LSR_29,52,0.008,0.6,5.8,9.9,6.5,0.32,0.2,1,90,5000,203,150
LSR_32,821,0.01,1.9,33.4,17.5,1.9,0.23,0.21,1.1,1000,5000,82,250
LSR_34,1872,0.001,1.2,16.9,14.1,18.7,0.26,0.2,1.2,64,5000,33,250
LSR_36,250,0.006,0.7,14,20.3,10.8,0.4,0.35,1.4,64,190,17,250
LSR_38,288,0.017,0.7,9.2,13.4,10.2,0.35,0.43,1.1,90,190,34,250
LSR_40,123,0.015,1.5,17.3,11.4,1.5,0.21,0.24,1.1,1000,5000,142,150
LSR_41,417,0.009,1.4,26.1,18.8,7.3,0.23,0.09,1.1,190,5000,68,250
LSR_42,723,0.003,1.2,33.5,28.5,26.1,0.19,0.06,1.1,45,128,197,250
LSR_43,182,0.004,0.7,6.3,8.6,11.5,0.38,0.41,1.4,64,5000,10,150
LSR_44,98,0.028,0.8,11.7,15.1,4.1,0.15,0.1,1,190,2500,110,150
LSR_45,821,0.001,1.5,24.1,15.7,12,0.41,0.22,1.2,128,5000,0,250
LSR_46,196,0.009,0.7,13.1,18.5,7.9,0.24,0.2,1.2,90,5000,110,250
LSR_47,633,0.008,1.1,19.1,17.1,1.1,0.21,0.31,1.2,1000,5000,36,250
LSR_48,312,0.001,0.6,10.6,18.5,35.7,0.29,0.25,1.3,16,32,8,250
LSR_49,371,0.03,0.6,18.2,30.5,0.6,0.36,0.52,1.2,1000,5000,9,250
LSR_50,47,0.018,0.7,7.2,10.6,5.3,0.25,0.16,1.1,128,5000,251,150
PGR_0,14,0.0006,0.7,4.8,6.7,89.6,0.45,0.16,1.1,8,23,1106,150
PGR_2,221,0.0001,1.5,10.7,7.3,132.5,0.11,0.17,1.1,11,23,178,150
PGR_3,90,0.004,2.1,47,22.9,64,0.21,0.57,1.1,32,64,687,250
PGR_4,47,0.0065,0.7,10.3,14.4,44.8,0.41,0.18,1.2,16,64,53,150
PGR_5,32,0.0107,0.7,6.1,9.2,10.4,0.3,0.34,1.2,64,90,1452,150
PGR_6,246,0.0041,1.5,18.4,12.7,11.4,0.19,0.2,1.2,128,200,117,250
PGR_7,48,0.0118,0.8,10.9,13.4,51,0.26,0.16,1.1,16,128,28,150
PGR_8,168,0.015,2.8,13.9,5,0.7,0.23,0.19,1.1,5000,5000,2,150
PGR_9,48,0.009,0.7,9.7,13.6,64.5,0.24,0.13,1.2,11,90,15,150
PGR_10,67,0.0043,0.8,9.5,11.7,101.8,0.58,0.2,1.5,8,64,91,150
PGR_11,19,0.0126,0.7,8.4,11.9,15.6,0.19,0.27,1.1,45,128,55,150
PGR_12,32,0.0109,0.7,5.2,7.5,10.7,0.14,0.18,1.1,64,190,2,150
PGR_13,6,0.0023,1.1,4.6,4.1,12.4,0.26,0.42,1.1,90,5000,1,150
PGR_14,101,0.0088,1.6,14.6,9.5,24.2,0.25,0.19,1.3,64,1000,23,150
PGR_15,6,0.0153,0.7,5.3,7.3,0.2,0.2,0.42,1.2,5000,5000,0,150
PGR_16,245,0.0206,0.6,7.1,11,10.1,0.27,0.27,1.1,64,200,31,150
PGR_17,164,0.0051,1,15.3,15.3,91.3,0.25,0.18,1.2,11,23,217,150
PGR_18,10,0.0027,1.5,6.9,4.7,1.5,0.2,0.23,1.2,1000,5000,5,150
PGR_19,398,0.0002,1.1,14.5,13.1,12.3,0.26,0.17,1.5,90,190,10,250
PGR_20,52,0.0107,1.4,12.9,9.2,31.2,0.15,0.13,1.6,45,1000,104,150
PGR_21,16,0.0005,1.3,10.4,7.7,7.1,0.27,0.13,1.2,190,1000,21,150
PGR_22,38,0.0053,0.8,10.4,13.1,24.7,0.27,0.22,1.1,32,128,4,150
PGR_23,8,0.0007,0.8,6.3,7.6,51.5,0.15,0.13,1.3,16,32,790,150
PGR_24,5,0.0058,0.4,3.3,9.3,11.2,0.37,0.49,1.2,32,64,361,150
PGR_25,971,0.0011,0.9,23,25.9,27.7,0.43,0.53,1.1,32,64,1260,150
PGR_26,220,0.0011,1.5,15,10.2,261.4,0.21,0.19,1.1,6,11,118,150
PGR_27,6,0.005,0.7,4.4,6.5,15.2,0.12,0.37,1.1,45,200,9,150
PGR_28,1025,0.0091,1.1,20.9,19.1,24.3,0.37,0.29,1.2,45,90,2671,250
PGR_29,43,0.0084,1.3,10.3,8.1,637.3,0.3,0.38,1.8,2,45,1280,150
PGR_30,34,0.0003,0.5,2.6,5.4,240.5,0.17,0.24,1.2,2,8,4986,150
PGR_31,317,0.0185,0.9,6.5,7.3,19.8,0.34,0.44,1.3,45,5000,12,150
PGR_32,5,0.0014,0.9,6.1,6.7,14.1,0.38,0.19,1.1,64,200,303,150
PGR_33,17,0.014,0.9,7,7.5,234.6,0.43,0.28,1.2,4,32,96,150
PGR_34,23,0.0039,1.1,23.6,21.4,49,0.28,0.25,1.1,23,64,1955,250
PGR_35,19,0.0033,0.7,5.6,8.6,40.5,0.34,0.43,1.3,16,45,1201,150
PGR_36,11,0.0048,1.2,9.2,7.7,74.1,0.34,0.33,1.1,16,90,92,150
PGR_37,21,0.0054,1.4,7.7,5.6,7.3,0.21,0.21,1.2,190,5000,23,150
PGR_38,3,0.0308,0.6,4,6.7,4.7,0.6,0.25,1.1,128,1000,12,150
PGR_41,46,0.0143,0.9,6.6,7.4,4.7,0.22,0.18,1.3,190,5000,41,150
PGR_42,42,0.0025,0.8,7.3,9.4,17.3,0.31,0.35,1.4,45,200,3,150
PGR_43,48,0.0057,0.9,11.7,12.7,10.2,0.35,0.29,1.2,90,200,69,150
PGR_44,135,0.0013,1.1,15.5,14.1,68.8,0.3,0.26,1.1,16,32,1647,150
PGR_45,204,0.0014,1,9.1,9.1,250.5,0.57,0.17,1.1,4,11,1710,150
PGR_47,1027,0.0092,1,28,28,62.4,0.44,0.21,1.1,16,45,3193,250
PGR_509BCCBPW,164,0.0142,0.7,16.9,23.6,5.8,0.27,0.07,1.3,125,1000,155,250
PGR_513PS0024,26,0.028,3.2,14.2,4.4,50.4,0.3,0.19,1.2,64,5000,11,250
PGR_504CE0210,193,0.0155,1.6,15.1,10,6.4,0.26,0.16,1.1,250,250,4771,250
PGR_508PS0458,614,0.024,0.8,26.6,34.1,27.3,0.19,0.11,1,30,79,527,250
PGR_513PS0088,577,0.0185,0.9,10.2,12.1,23.1,0.2,0.32,1.1,40,95,97,250
PGR_513PS0200,96,0.0155,0.8,9,12.3,22.1,0.31,0.19,1.3,37,115,76,150
PGR_524PS0202,299,0.007,1.1,20.4,20.8,26.1,0.34,0.21,1.1,41,140,166,250
PGR_513PS0248,62,0.02,0.6,7.8,15.1,7.9,0.26,0.1,1.1,70,240,24,150
PGR_524SHA916,271,0.015,1.7,12.5,7.5,16.5,0.27,0.17,1.2,80,5000,73,250
PGR_513BTCACC,46,0.026,0.5,5.5,12.4,5,0.34,0.26,1.2,100,5000,17,150
RGW_0,8,0.026,0.9,5.8,6.9,0.9,0.39,0.3,1.3,1000,5000,3,150
RGW_1,6,0.023,0.4,5.3,13.8,12.1,0.51,0.28,1.1,32,200,1,150
RGW_2,37,0.006,0.8,8.8,11.3,6.1,0.32,0.1,1.1,128,200,62,150
RGW_3,40,0.009,1.1,18.1,16.2,5.9,0.14,0.21,1.4,190,5000,95,250
RGW_4,241,0.003,1.8,36.1,19.6,115,0.63,0.19,1.1,16,45,1707,250
RGW_5,5,0.011,0.4,3.4,8.1,9.2,0.2,0.22,1.1,45,90,235,150
RGW_6,35,0.0035,0.4,7.4,19.6,34.5,0.42,0.23,1.2,11,16,748,150
RGW_7,5,0.006,1.2,15.1,12.4,1.2,0.78,0.32,1.3,1000,1000,233,150
RGW_8,197,0.003,1.3,13.2,10.5,39.2,0.19,0.22,1.2,32,64,5000,250
RGW_9,263,0.002,2.1,22,10.7,16.1,0.24,0.44,1.2,128,5000,4,250
RGW_10,22,0.009,0.8,11.2,14.3,0.8,0.28,0.31,1.3,1000,1000,221,150
RGW_11,52,0.006,1.1,14.6,13.8,66.2,0.27,0.51,1.1,16,64,63,150
RGW_12,7,0.008,0.5,3.1,6.7,14.5,0.18,0.16,1,32,128,9,150
RGW_15,97,0.008,0.8,9.4,12.3,47.7,0.2,0.15,1.1,16,32,4889,150
RGW_16,97,0.001,1.3,12.2,9.2,29.5,0.21,0.25,1.1,45,200,812,150
RGW_18,41,0.037,1.4,9.9,7.1,0.4,0.34,0.32,1.3,5000,5000,0,150
RGW_23,79,0.003,0.8,6.7,8.8,8.4,0.42,0.25,1.3,90,5000,817,150
RGW_27,10,0.003,0.7,4.6,6.4,129.7,0.17,0.15,1.3,6,16,1365,150
RGW_29,195,0.002,1,11.6,11.5,5.3,0.31,0.1,1.2,190,5000,18,150
RGW_31,181,0.001,1,16.1,15.6,128.9,0.24,0.1,1.3,8,32,5000,250
RGW_36,327,0.004,0.9,15.1,17.5,13.4,0.23,0.25,1.1,64,128,4269,250
RGW_37,136,0.004,1.3,9.9,7.6,118.8,0.23,0.2,1.4,11,23,1124,150
RGW_41,43,0.02,1.4,8.7,6.3,6.9,0.21,0.21,1,200,5000,233,150
RGW_42,40,0.002,1,9.4,9.5,15.5,0.3,0.15,1.3,64,200,93,250
RGW_43,31,0.02,1,11.7,11.6,5.3,0.32,0.16,1.1,190,5000,29,150
RGW_44,7,0.013,1.1,7.2,6.7,0.3,0.35,0.35,1.6,5000,5000,53,150
RGW_45,4,0.02,0.5,6.8,12.6,6,0.31,0.39,1.2,90,1000,41,150
RGW_46,9,0.027,0.7,6.6,9.4,15.5,0.1,0.18,1,45,128,17,150
RGW_47,40,0.007,1.2,12.4,10.4,13.2,0.18,0.29,1.1,90,200,1488,250
RGW_48,4,0.006,0.6,5.5,8.9,0.6,0.16,0.19,1.1,1000,1000,5,150
RGW_50,8,0.008,0.8,16.3,20,4.1,0.27,0.22,1.2,200,1000,9,250
RGW_51,52,0.01,1.3,11,8.9,6.2,0.4,0.31,1.1,200,5000,1415,150
RGW_507CE0181,27,0.02,0.6,4.1,7.6,2.2,0.21,0.24,1.1,250,1000,764,150
RGW_520CE0562,87,0.011,1.4,11,8.2,21.2,0.11,0.04,1.2,64,250,4808,250
RGW_509PCDTWR,21,0.025,1.1,7.2,6.6,17.4,0.16,0.11,1,64,115,72,150
RGW_514CE0139,39,0.027,0.6,8.2,15.4,2.2,0.36,0.4,1.2,250,1000,598,150
RGW_514PS0351,37,0.015,1.3,17.1,13.3,10.9,0.09,0.18,1.1,120,380,313,250
RGW_513PS0008,19,0.029,1.2,9.1,8.6,14.7,0.37,0.29,1.2,80,1000,0,150
RGW_513STCAIV,8,0.048,1,7.7,8.1,5.8,0.14,0.43,1.1,150,450,36,150
RGW_517PS0078,19,0.035,0.7,5.8,9,7.3,0.21,0.32,1.2,92,1000,448,150
RGW_514CE0555,63,0.058,0.3,2.7,8.2,1.3,0.24,0.27,1.2,250,1000,2,150
RGW_504PS0019,199,0.006,0.8,7.9,10.2,35.1,0.32,0.13,1.1,22,40,4688,150
RGW_504CE0657,1,0.011,0.5,6.1,16.4,7.1,0.59,0.37,1.4,64,250,5000,150
RGW_504PS0051,74,0.021,1.3,22.2,17.1,23.9,0.13,0.3,1.2,55,185,4579,250
RGW_504PS0371,161,0.01,1,14.6,18.2,40.6,0.58,0.28,1.1,24,80,4499,250
RGW_507PS0142,196,0.013,1.5,21.2,16.3,17.2,0.24,0.41,1.3,85,250,295,250
RGW_508BERPRK,292,0.011,1.4,12.4,10,22.2,0.38,0.26,1,95,5000,468,250
RGW_504DCFRxx,69,0.036,1.5,8.1,6,5.9,0.49,0.34,1.1,250,5000,23,150
RGW_504WE0527,68,0.029,1.7,17.8,10.4,7.2,0.09,0.1,1.1,250,2500,24,250
RGW_509CE0305,285,0.021,1,19.6,22.3,15.8,0.48,0.31,1.2,80,192,98,250
RGW_509PS0334,302,0.019,1.8,18.6,10.6,19.8,0.15,0.3,1.1,90,380,94,250
WS_0,77,0.004,0.6,6,10,6.6,0.03,0.01,1.8,90,5000,19,250
WS_1,93,0.003,0.8,7.4,9.4,280.5,0.24,0.18,1.1,3,23,65,150
WS_3,33,0.029,0.2,3.2,14.5,7,0.04,0.02,1.1,32,128,670,250
WS_4,100,0.001,1.1,11.1,10.1,69.2,0.12,0.32,1.4,16,45,731,250
WS_5,69,0.003,0.5,8,16.1,89.3,0.45,0.2,1.5,6,32,401,150
WS_7,57,0.003,1,12,11.6,8.1,0.16,0.11,1.1,128,200,27,150
WS_9,10,0.017,0.6,4.2,6.9,4.8,0.33,0.28,1.1,128,5000,23,150
WS_10,69,0.0038,0.7,12.1,18.1,29.7,0.28,0.11,1.3,23,45,466,150
WS_11,32,0.014,1.1,8.1,7.5,5.4,0.23,0.1,1.1,200,5000,5,150
WS_12,25,0.009,0.9,7.4,8.8,9.4,0.23,0.15,1.1,90,200,56,150
WS_13,100,0.004,1,8.3,8.2,62.8,0.29,0.12,1.3,16,45,580,150
WS_14,83,0.016,0.8,13.2,15.6,37.3,0.27,0.26,1.3,23,200,64,150
WS_16,6,0.017,0.7,4.4,3.6,7.3,0.28,0.25,1.3,90,1000,2,150
WS_17,10,0.005,0.4,5.4,13.2,72.9,0.32,0.3,1.4,6,64,144,150
WS_18,6,0.014,0.6,4.3,7.4,104.2,0.22,0.23,1.1,6,23,866,150
WS_20,69,0,1.2,7.1,6,588.6,0.22,0.22,1.1,2,2,4375,150
WS_514PS0084,7,0,0.5,4,7.9,51,0.41,0.78,1.1,10,1000,3842,150
WS_515PS0490,30,0.001,1,6.7,6.7,515,0.2,0.06,1.1,2,2,4688,150
WS_520PS0202,25,0.001,1,8.4,8.7,480,0.23,0.29,1.2,2,2,5000,150
WS_511CE0663,35,0.012,1.6,7.6,4.9,815,0.23,0.13,1.2,2,250,1922,150
WS_514CE0523,7,0.012,0.7,4.3,7.6,325,0.29,0.21,1.2,2,16,297,150
WS_519CE0019,22,0.007,0.7,4.3,6.6,340,0.26,0.11,1.3,2,2,5000,150
WS_519CE0363,9,0.014,1,5.1,5.1,70,0.22,0.27,1.4,14,27,1197,150
WS_519CE0531,7,0.006,1,2.7,3.2,500,0.74,0.33,1.7,2,2,4375,150
WS_505PS0110,31,0.029,1.2,7.8,7.1,1.2,0.4,0.21,1.2,1000,5000,18,150
WS_506PS0003,16,0.03,1,5.8,7.7,4.2,0.7,0.32,1.2,245,5000,28,150
